City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,souillac,-20.5167,57.5167,27.21,69,40,4.12,MU,1699180719
224,colares,38.7992,-9.4469,18.2,69,20,6.26,PT,1699180721
225,tiznit,29.5833,-9.5,21.14,55,2,2.27,MA,1699180722
226,yavas,54.4159,42.8491,8.74,63,99,6.03,RU,1699180724
227,iskateley,67.6803,53.1512,-7.77,87,82,5.36,RU,1699180725
228,bargaal,11.2864,51.0773,29.48,66,14,5.85,SO,1699180727
229,ta`u,-14.2336,-169.5144,26.67,82,51,11.04,AS,1699180730
230,susuman,62.7833,148.1667,-24.88,100,59,1.63,RU,1699180732
231,yelizovo,53.1873,158.3805,1.56,69,75,2.0,RU,1699180437
232,yuzhno-kurilsk,44.0306,145.8556,8.54,81,77,3.18,RU,1699180735
233,southport,53.6478,-3.0065,11.0,76,40,5.66,GB,1699180736
234,mokhsogollokh,61.4681,128.9203,-17.1,86,100,3.22,RU,1699180739
235,miquelon,47.0975,-56.3814,8.0,84,97,4.2,PM,1699180740
236,hermanus,-34.4187,19.2345,20.63,63,17,5.83,ZA,1699180505
237,kurnool,15.8309,78.0425,29.73,57,94,4.51,IN,1699180743
238,wynyard,-41.0,145.7167,10.07,86,17,1.69,AU,1699180744
239,kratie,12.4881,106.0188,27.46,83,66,1.03,KH,1699180746
240,shingu,33.7333,135.9833,19.68,90,47,2.66,JP,1699180747
241,chibougamau,49.9168,-74.3659,-9.21,86,40,2.06,CA,1699180749
242,invercargill,-46.4,168.35,7.79,84,10,1.1,NZ,1699180750
243,naugachhia,25.4,87.1,27.95,43,0,1.42,IN,1699180751
244,el abiodh sidi cheikh,32.893,0.5484,24.02,22,0,1.08,DZ,1699180752
245,kapuskasing,49.4169,-82.4331,-7.0,79,100,4.63,CA,1699180754
246,san antonio de pale,-1.4014,5.6325,26.07,82,80,3.34,GQ,1699180755
247,novyy urengoy,66.0833,76.6333,-6.9,91,100,7.58,RU,1699180756
248,i-n-salah,27.1935,2.4607,33.91,8,0,2.29,DZ,1699180758
249,gobabis,-22.45,18.9667,32.44,10,1,4.68,NA,1699180760
250,mangai,-4.05,19.5333,24.5,85,100,1.56,CD,1699180761
251,lompoc,34.6391,-120.4579,13.4,98,100,2.06,US,1699180763
252,kodinsk,58.6881,99.1844,-3.09,81,100,5.79,RU,1699180764
253,colonia,50.9333,6.95,12.55,88,100,3.6,DE,1699180519
254,greymouth,-42.4667,171.2,8.29,91,69,2.86,NZ,1699180766
255,kotido,2.9806,34.1331,25.03,59,67,1.02,UG,1699180767
256,lincoln,40.8,-96.667,7.23,85,0,2.06,US,1699180476
257,pitimbu,-7.4706,-34.8086,28.33,71,100,4.32,BR,1699180770
258,totskoye,52.5248,52.7623,6.61,67,1,5.36,RU,1699180564
259,bardai,11.65,7.2333,32.95,29,13,5.23,NG,1699180772
260,fale old settlement,-9.3852,-171.2468,28.22,80,76,6.85,TK,1699180774
261,launceston,-41.45,147.1667,13.8,62,100,4.63,AU,1699180776
262,sinop,41.7711,34.8709,20.49,50,65,0.96,TR,1699180580
263,brookings,44.3114,-96.7984,4.51,88,0,4.12,US,1699180779
264,le trait,49.4689,0.8163,12.9,77,84,9.45,FR,1699180780
265,la asuncion,11.0333,-63.8628,27.24,83,100,5.08,VE,1699180783
266,trondheim,63.4305,10.3951,5.05,92,92,2.89,NO,1699180263
267,mbaiki,3.8678,17.9892,31.66,46,44,1.58,CF,1699180789
268,cambria,35.5641,-121.0808,18.88,77,84,1.92,US,1699180791
269,ivins,37.1686,-113.6794,16.14,20,87,1.07,US,1699180793
270,cobram,-35.9167,145.65,22.32,37,70,7.15,AU,1699180794
271,torit,4.4133,32.5678,21.92,93,100,1.59,SS,1699180795
272,johnstown,40.3267,-78.922,12.19,71,100,2.57,US,1699180796
